UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005784974;1;2016-02-17;netto: -8.26 imposta: 0.00 lordo: -8.47
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005820485;1;2016-02-01;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005932688;1;2016-02-13;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005932948;1;2016-02-13;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005938026;1;2016-02-15;netto: -0.33 imposta: 0.00 lordo: -0.34
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005938026;1;2016-03-15;netto: -0.30 imposta: 0.00 lordo: -0.31
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005979359;1;2016-02-05;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005985632;1;2016-02-07;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006018571;1;2016-02-19;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006030751;1;2016-02-24;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006052638;1;2016-02-03;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006052704;1;2016-02-03;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006124260;1;2016-02-01;netto: -0.60 imposta: 0.00 lordo: -0.62
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006239324;1;2016-03-02;netto: -0.23 imposta: 0.00 lordo: -0.24
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006254751;1;2016-02-09;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006313371;1;2016-02-14;netto: -0.59 imposta: 0.00 lordo: -0.60
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006313371;1;2016-03-14;netto: -0.53 imposta: 0.00 lordo: -0.54
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006411569;1;2016-02-14;netto: -0.29 imposta: 0.00 lordo: -0.30
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006411569;1;2016-03-14;netto: -0.26 imposta: 0.00 lordo: -0.27
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006424195;1;2016-02-20;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006565087;1;2016-03-21;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006572399;1;2016-03-23;netto: -0.44 imposta: 0.00 lordo: -0.45
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006572411;1;2016-03-23;netto: -0.44 imposta: 0.00 lordo: -0.45
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006608173;1;2016-03-11;netto: -0.30 imposta: 0.00 lordo: -0.31
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006663612;1;2016-02-11;netto: -0.38 imposta: 0.00 lordo: -0.39
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006663612;1;2016-03-11;netto: -0.34 imposta: 0.00 lordo: -0.35
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006689917;1;2016-02-25;netto: -0.40 imposta: 0.00 lordo: -0.41
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006689917;1;2016-03-25;netto: -0.36 imposta: 0.00 lordo: -0.37
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006720590;1;2016-02-16;netto: -0.24 imposta: 0.00 lordo: -0.25
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006720590;1;2016-03-16;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006801554;1;2016-03-23;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006880871;1;2016-03-09;netto: -0.23 imposta: 0.00 lordo: -0.24
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006899034;1;2016-03-21;netto: -0.29 imposta: 0.00 lordo: -0.30
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50006956951;1;2016-03-13;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007022168;1;2016-03-19;netto: -0.33 imposta: 0.00 lordo: -0.34
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007206539;1;2016-02-13;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007206539;1;2016-03-13;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007316899;1;2016-03-19;netto: -0.45 imposta: 0.00 lordo: -0.46
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007369039;1;2016-02-06;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007369039;1;2016-03-06;netto: -0.23 imposta: 0.00 lordo: -0.24
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007614696;1;2016-02-14;netto: -0.29 imposta: 0.00 lordo: -0.30
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50007623018;1;2016-02-18;netto: -0.41 imposta: 0.00 lordo: -0.42
